Episode,Fault,Success,MTTD,MTTR,Messages
35,SensorNoise,False,1.0294954510600607,4.777728728318493,3
36,AnalyticsFailure,True,6.53348501364703,20.410065983233288,8
37,SensorNoise,True,1.0891699726933708,4.665817019671886,3
38,InformationDelay,True,2.31974234104017,8.426937751704257,4
39,SensorNoise,True,1.0466631361783476,4.659327300498731,3
40,MissingData,True,2.005455860793117,7.582694778226294,3
41,SensorDrift,False,1.7468277211986232,7.390109060693281,4
42,SensorNoise,True,1.052494005765932,4.606046402206604,3
43,GatewayFailure,True,4.592101505183284,13.821182011664046,7
44,ModelDrift,True,6.848603819976537,19.529689229055805,9
45,MissingData,False,2.2090901073922518,7.543777009274337,3
46,CommunicationLoss,True,3.5796391333778765,13.816024553370479,6
47,AnalyticsFailure,True,5.641752910453075,19.147980350620635,8
48,SensorDrift,True,1.6505099742925942,7.201113411633515,4
49,AnalyticsFailure,True,6.496564375036752,18.546651568361433,8
50,CommunicationLoss,False,3.975885781815505,12.239935332866805,6
51,MissingData,True,1.9467621904077952,8.402262299083734,3
52,CommunicationLoss,True,3.4667386452967515,12.508459660165931,6
53,PacketDelay,True,2.960723034578476,10.478966074133504,5
54,PacketDelay,True,2.726698242890952,10.90447278086227,5
55,AnalyticsFailure,False,5.749212034220766,20.485211295103817,8
56,SensorDrift,True,1.8342290121285179,7.370047012998689,4
57,SensorDrift,True,1.836432806068359,7.061511288934007,4
58,ActuatorFailure,True,4.86651695376257,18.442141506469127,7
59,ActuatorFailure,True,4.875980474034681,17.1463043743069,7
60,CommunicationLoss,True,3.5797061949633524,13.643590380265833,6
61,ModelDrift,False,6.401735036957033,18.948301570036993,9
62,AnalyticsFailure,True,6.331873841464313,20.303992276547447,8
63,SensorDrift,True,1.7217457878720799,6.890706451051867,4
64,CommunicationLoss,True,3.9604317488956617,12.853434199064308,6
65,CommunicationLoss,True,4.00840505575435,13.490770117347083,6
66,SensorDrift,True,1.5566654149462997,7.133820923306643,4
67,ModelDrift,True,6.252852670806944,19.307147537930256,9
68,SensorNoise,True,1.041454423612931,5.216142538293865,3
69,ModelDrift,True,7.437731916994115,19.691616719669646,9
70,SensorDrift,True,1.7964063672533572,6.732748264873182,4
71,AnalyticsFailure,True,6.0131148926910765,18.234096965008316,8
72,SensorDrift,True,1.7291975412117577,6.636898890409946,4
73,InformationDelay,True,2.4456435351595887,8.875861091043896,4
74,SensorNoise,True,0.9726662943025014,4.977599992945125,3
75,ActuatorFailure,True,4.747362428415182,16.624714716350333,7
76,GatewayFailure,True,4.2930716008309835,16.655458295667906,7
77,ActuatorFailure,True,5.366573421024992,15.647586807985036,7
78,CommunicationLoss,True,3.77219932972167,12.895311832164133,6
79,SensorDrift,True,1.5651195952961523,6.241881625066127,4
80,SensorDrift,True,1.732954348797611,7.186836664983819,4
81,CommunicationLoss,True,3.451940570386225,12.530215677908725,6
82,CommunicationLoss,False,3.9970055406866156,12.901818191694314,6
83,SensorDrift,True,1.6125324569230268,6.8287021618383585,4
84,SensorNoise,True,0.9525783560300125,4.86429734280075,3
85,ModelDrift,True,6.318471356079305,19.04220619509726,9
86,CommunicationLoss,True,3.671810474249996,13.47079989162199,6
87,PacketDelay,True,3.2393122659006797,10.65063488300941,5
88,CommunicationLoss,True,3.914251625907379,12.642547163909521,6
89,SensorNoise,True,0.9193805433627963,4.993605817994934,3
90,AnalyticsFailure,True,5.807069047814988,20.054621681515023,8
91,SensorDrift,True,1.6764095151220386,7.2400079265902315,4
92,MissingData,True,2.1651169906024106,7.344665985559058,3
93,CommunicationLoss,True,3.974398606074239,12.696474843108412,6
94,PacketDelay,True,2.914452551613685,9.83104083623405,5
95,SensorDrift,True,1.7451868370692618,7.436157796257704,4
96,AnalyticsFailure,True,5.742804622557058,17.878322547776172,8
97,SensorNoise,True,0.9924631696286285,5.5407084956402155,3
98,CommunicationLoss,True,4.20540766818379,11.933814392152184,6
99,CommunicationLoss,False,3.4630908231366315,13.329394077711827,6
100,CommunicationLoss,False,3.6028810232163817,13.509098078630078,6
101,CommunicationLoss,True,3.495406384032284,13.636859221599439,6
102,SensorDrift,True,1.7588124018144837,6.309283606867022,4
103,ActuatorFailure,True,4.847735318629714,15.824086997149912,7
104,SensorDrift,True,1.6581768781330297,6.730730740333742,4
105,CommunicationLoss,False,3.887916674700498,12.837636873065401,6
106,InformationDelay,True,2.738513199484136,9.197222294633214,4
107,MissingData,True,2.3240819173142317,7.958500459195057,3
108,SensorNoise,True,1.0391392684443952,5.522689273705196,3
109,SensorNoise,True,0.9686391176443603,5.267987764940478,3
110,SensorDrift,True,1.7383104867865211,6.885979597402417,4
111,SensorNoise,True,1.0499356956297312,5.576147356239979,3
112,CommunicationLoss,True,4.051616764286893,11.745158606595522,6
113,GatewayFailure,True,4.415071009378749,16.055370264556416,7
114,SensorDrift,True,1.7638058989910785,6.420603161202809,4
115,CommunicationLoss,True,3.796743354542865,13.207866493246737,6
116,SensorDrift,True,1.5812532770431704,7.476875706563929,4
117,ModelDrift,True,6.5217878199050325,22.115833982257914,9
118,CommunicationLoss,True,4.078458074700961,13.336884343708096,6
119,CommunicationLoss,True,3.704946010845374,13.47488849369818,6
120,CommunicationLoss,True,3.70894972692627,11.723938729370557,6
121,PacketDelay,True,2.946706079987818,9.317035653684577,5
122,PacketDelay,True,3.1004134989043752,9.22607363501435,5
123,InformationDelay,False,2.3507749677102345,9.91109373515354,4
124,PacketDelay,True,3.1180912433946744,10.232627559869622,5
125,SensorNoise,True,0.9855218897328466,5.024896771294116,3
126,SensorDrift,True,1.8012369680234503,6.976474033675003,4
127,CommunicationLoss,True,3.945340552036337,12.48373506422669,6
128,SensorDrift,True,1.8302531073025639,6.731422015468748,4
129,SensorDrift,True,1.5315130147308864,6.412122702895604,4
130,CommunicationLoss,True,3.9808762036538,13.504820529815092,6
131,InformationDelay,True,2.7027462020122215,9.418982449767105,4
132,ModelDrift,True,6.388021014200662,18.824936280477058,9
133,SensorNoise,True,1.017854731676384,5.575234727948091,3
134,AnalyticsFailure,True,5.817480720486172,18.298114581371827,8
135,PacketDelay,True,2.8869310300281876,10.11403559580013,5
136,PacketDelay,False,3.078285373077267,10.813251301696804,5
137,InformationDelay,True,2.595985866138514,9.671845852810758,4
138,InformationDelay,True,2.416672090483783,8.633694450425306,4
139,SensorNoise,True,0.9468371428266784,4.986232534696191,3
140,GatewayFailure,True,4.744943651957578,15.06449867314403,7
141,SensorNoise,False,1.0276253710795964,5.527544216648976,3
142,GatewayFailure,True,4.369474540008927,14.28060850291181,7
143,PacketDelay,True,2.7888236550776297,10.897649836838559,5
144,CommunicationLoss,True,4.1046245066051545,13.902196973744317,6
145,InformationDelay,True,2.394515530733467,9.132975608873071,4
146,SensorDrift,True,1.7520437186083926,6.67642271378031,4
147,AnalyticsFailure,True,6.200069423686499,18.490005518106642,8
148,SensorDrift,True,1.7222352517432915,7.2023980098593015,4
149,PacketDelay,True,2.696953576680552,9.638680569952141,5
150,SensorDrift,True,1.795451667126188,6.88928462721277,4
151,CommunicationLoss,True,3.821414707418833,12.777555249547126,6
152,CommunicationLoss,False,3.647435015685569,12.859920764337266,6
153,SensorDrift,True,1.7142947488999942,7.14922928971492,4
154,CommunicationLoss,True,3.7801454334926623,12.032281934275689,6
155,CommunicationLoss,True,4.0055313536897605,13.141862841069186,6
156,CommunicationLoss,True,4.111729532401816,11.557187508395444,6
157,MissingData,False,2.278934840836448,7.018083999170191,3
158,ModelDrift,True,6.2796449960385194,21.67250676338926,9
159,PacketDelay,False,3.1163797242925666,10.585832517707995,5
160,MissingData,True,2.1718612661132775,7.540095603718995,3
161,ActuatorFailure,False,5.390546296169997,18.066001542684475,7
162,InformationDelay,True,2.585737915850549,9.41036509108267,4
163,ModelDrift,True,6.348993215860195,22.354320638124193,9
164,ModelDrift,True,6.898920388546486,22.245781169389996,9
165,SensorDrift,True,1.8360527981144321,7.228646031986969,4
166,AnalyticsFailure,True,6.247612022422048,18.369369874419235,8
167,AnalyticsFailure,True,5.685015007345279,19.283052076656833,8
168,SensorNoise,True,0.9450689346710902,4.739168312293461,3
169,MissingData,True,2.0177107645096353,8.175640154664508,3
170,ModelDrift,True,6.313353420982501,20.9402000884441,9
171,SensorDrift,True,1.6575585914677171,6.222702131731315,4
172,MissingData,True,2.239275799800197,7.501361683151786,3
173,SensorNoise,True,1.0597195376084192,5.484863703969513,3
174,MissingData,False,2.119918904186025,7.775391983343541,3
175,ModelDrift,False,7.272147563371843,18.740017965005354,9
176,MissingData,True,2.1823072318528673,7.951852136016495,3
177,PacketDelay,False,3.1509283663554686,9.991340371104874,5
178,InformationDelay,True,2.7156723002943717,9.340116951928763,4
179,ModelDrift,True,6.5056865833651045,20.593026984616884,9
180,SensorDrift,False,1.8198236759380617,7.192092968728288,4
181,SensorDrift,True,1.7891663676236507,6.182482378895742,4
182,MissingData,False,2.268098426016586,6.909910469130299,3
183,CommunicationLoss,False,3.5633573889552332,12.639121246723262,6
184,MissingData,False,2.0943147028683518,8.40841192516346,3
185,SensorNoise,True,1.0979581438645678,4.897902814463951,3
186,SensorDrift,True,1.8280423126605647,6.246942378954885,4
187,MissingData,True,1.947528725549829,7.901698481461512,3
188,InformationDelay,True,2.321411510274814,9.584879992688464,4
189,PacketDelay,True,3.1268631334551844,10.055631119140907,5
190,GatewayFailure,True,4.296496738910792,14.423068801455411,7
