Episode,Fault,Stage,Success,MTTD,MTTR,Messages,Confidence
0,PacketDelay,AS2,True,2.132539422147911,6.959750440476404,7,0.6000000000000001
1,GatewayFailure,AS2,True,3.6205590700785826,9.942077087444549,9,0.6000000000000001
2,SensorNoise,AS1,True,0.7281674090071537,3.3605003006801843,5,0.6000000000000001
3,PacketDelay,AS2,True,2.1234572797131595,6.001887007977241,7,0.6000000000000001
4,CommunicationLoss,AS2,True,2.635823501529801,8.290364048823058,8,0.6000000000000001
5,SensorDrift,AS1,True,1.1519732386644963,4.12181350129758,6,0.6000000000000001
6,SensorNoise,AS1,True,0.6913060443065012,3.437000686342062,5,0.6800000000000002
7,CommunicationLoss,AS2,True,2.7336884127769308,9.021847211101935,8,0.6800000000000002
8,SensorNoise,AS1,True,0.6847193729674852,3.1879735757919097,5,0.7440000000000002
9,AnalyticsFailure,AS3,True,4.09170509455852,12.186237997960264,10,0.6000000000000001
10,AnalyticsFailure,AS3,False,4.345884413333047,12.349071348873567,10,0.4
11,PacketDelay,AS2,True,2.0913455667177843,7.087705484012391,7,0.6800000000000002
12,SensorNoise,AS1,False,0.650208053696903,3.5885254437134844,5,0.7452000000000002
13,ActuatorFailure,AS5,True,3.8983977336784235,11.43037782855096,9,0.6000000000000001
14,SensorDrift,AS1,True,1.1374394301511275,4.243021207768114,6,0.6800000000000002
15,SensorDrift,AS1,True,1.235693121598827,4.231411610172497,6,0.7440000000000002
16,PacketDelay,AS2,True,2.0857217080996593,6.999717940802428,7,0.7440000000000002
17,GatewayFailure,AS2,True,3.181353967960612,9.312192432686656,9,0.6800000000000002
18,ActuatorFailure,AS5,True,3.7737017126758716,9.935683782202773,9,0.6800000000000002
19,SensorDrift,AS1,True,1.2528028650598133,4.21976921300681,6,0.7952000000000001
20,AnalyticsFailure,AS3,True,4.1994132451902315,12.474151278012874,10,0.6800000000000002
21,CommunicationLoss,AS2,True,2.873659647433872,9.019738640963068,8,0.7440000000000002
22,SensorDrift,AS1,True,1.1203760750283698,4.659578452631199,6,0.8361600000000002
23,AnalyticsFailure,AS3,True,4.190185709853472,13.10889652306037,10,0.7440000000000002
24,ModelDrift,AS3,True,4.376382769517501,11.969294718914783,11,0.6000000000000001
25,MissingData,AS1,True,1.550464663017946,5.2116954551363,5,0.6000000000000001
26,PacketDelay,AS2,True,1.9872020246725275,6.873463824088567,7,0.7952000000000001
27,SensorDrift,AS1,True,1.169568166244835,4.503695007571587,6,0.8689280000000001
28,SensorNoise,AS1,True,0.7175813981215428,3.2919838934420276,5,0.7561600000000002
29,GatewayFailure,AS2,True,2.977821638964409,9.958246940746468,9,0.7440000000000002
30,PacketDelay,AS2,True,1.8971998909930194,7.013367531606361,7,0.8361600000000002
31,CommunicationLoss,AS2,True,2.921277617639334,7.601577107345913,8,0.7952000000000001
32,SensorDrift,AS1,True,1.2287474021788645,4.18212801275692,6,0.8951424000000001
33,SensorNoise,AS1,True,0.6593787711092787,3.6031365441380308,5,0.7715946666666669
34,PacketDelay,AS2,True,2.182839252761454,6.3359665252487,7,0.8689280000000001
35,SensorNoise,AS1,True,0.6614640727815038,3.2203142546782786,5,0.7887043047619049
36,AnalyticsFailure,AS3,True,4.37038992601605,11.090100416464042,10,0.7952000000000001
37,SensorNoise,AS1,False,0.6957029688468825,3.6150372873712624,5,0.780963443809524
38,InformationDelay,AS4,True,1.9508947975584765,5.723017461492231,6,0.6000000000000001
39,SensorNoise,AS1,True,0.7296169171666506,3.1489227347875457,5,0.7803263106031748
40,MissingData,AS1,True,1.4341119041278474,4.992600391342304,5,0.6800000000000002
41,SensorDrift,AS1,True,1.0837579428460642,4.142299141560434,6,0.6000000000000001
42,SensorNoise,AS1,True,0.7662099438410597,3.5830574605671974,5,0.78426104848254
43,GatewayFailure,AS2,True,3.3440193071281117,10.591896002073065,9,0.7952000000000001
44,ModelDrift,AS3,True,4.68849236551959,13.832927251230702,11,0.6800000000000002
45,MissingData,AS1,True,1.3735283073055586,5.1930019956423354,5,0.7440000000000002
46,CommunicationLoss,AS2,True,2.8828843151111143,7.986978031683925,8,0.8361600000000002
47,AnalyticsFailure,AS3,True,4.113230561419527,12.762002897037801,10,0.8361600000000002
48,SensorDrift,AS1,True,1.3182206108281913,4.391731041377499,6,0.9161139200000001
49,AnalyticsFailure,AS3,True,4.142752274841218,12.534861556573349,10,0.8689280000000001
50,CommunicationLoss,AS2,True,2.589504919580741,7.831642139156379,8,0.6000000000000001
51,MissingData,AS1,True,1.4639999979250367,5.231051379051521,5,0.7952000000000001
52,CommunicationLoss,AS2,False,2.6247781231815925,7.5760087073487945,8,0.8355946666666669
53,PacketDelay,AS2,True,2.2097655263044085,6.074945466629485,7,0.8951424000000001
54,PacketDelay,AS2,True,2.123933713532916,6.616421919901806,7,0.9161139200000001
55,AnalyticsFailure,AS3,True,4.281416626441157,12.788341712691796,10,0.8951424000000001
56,SensorDrift,AS1,True,1.1730718942508145,4.034535574897101,6,0.6800000000000002
57,SensorDrift,AS1,True,1.314761535363333,4.463325179059596,6,0.9328911360000001
58,ActuatorFailure,AS5,True,3.33996484245078,10.56248878382515,9,0.7440000000000002
59,ActuatorFailure,AS5,True,3.4386925475537304,10.55945495862744,9,0.6000000000000001
60,CommunicationLoss,AS2,True,2.939880039640953,8.614484096551728,8,0.839904304761905
61,ModelDrift,AS3,True,4.759547167589466,12.237692347796985,11,0.7440000000000002
62,AnalyticsFailure,AS3,True,4.486955244846355,11.809333693875859,10,0.9161139200000001
63,SensorDrift,AS1,True,1.1833478930273214,4.684711011323091,6,0.9463129088000002
64,CommunicationLoss,AS2,True,2.5922350537267267,8.420298592843192,8,0.8469234438095241
65,CommunicationLoss,AS2,True,2.5259241265123356,8.082095311197614,8,0.8553165328253971
66,SensorDrift,AS1,True,1.23189659087242,4.8116315152255735,6,0.9570503270400001
67,ModelDrift,AS3,True,4.589088140605648,13.954687643627443,11,0.7952000000000001
68,SensorNoise,AS1,True,0.6767712070143275,3.6281948509820943,5,0.7910452024223957
69,ModelDrift,AS3,False,4.345839464328322,13.799843280454597,11,0.7961600000000002
70,SensorDrift,AS1,True,1.2795076340904867,4.020859631305112,6,0.7440000000000002
71,AnalyticsFailure,AS3,True,4.3453012280122545,11.226813476925145,10,0.9328911360000001
72,SensorDrift,AS1,True,1.1169943762694055,4.332352600502876,6,0.9656402616320001
73,InformationDelay,AS4,True,1.8352561877110936,6.149515263251769,6,0.6800000000000002
74,SensorNoise,AS1,True,0.7732272563249325,3.24607845692937,5,0.7995028286045833
75,ActuatorFailure,AS5,True,3.745176686680027,11.687053346493789,9,0.7952000000000001
76,GatewayFailure,AS2,True,3.0421838206612293,9.40149731831291,9,0.8361600000000002
77,ActuatorFailure,AS5,True,3.271893619340051,12.063938053094363,9,0.6000000000000001
78,CommunicationLoss,AS2,True,2.836448699973987,9.018432683227816,8,0.8642532262603178
79,SensorDrift,AS1,True,1.1332802590918714,4.617230664316879,6,0.7952000000000001
80,SensorDrift,AS1,True,1.1330476166828487,4.289225219668434,6,0.9725122093056002
81,CommunicationLoss,AS2,False,2.8028361450899504,7.673729138591857,8,0.8550389446446179
82,CommunicationLoss,AS2,True,2.589533399079939,8.943903448707246,8,0.8506978223823611
83,SensorDrift,AS1,True,1.2552361735254678,4.266529214042898,6,0.9780097674444803
84,SensorNoise,AS1,True,0.7230405354912679,3.1998781957795273,5,0.8088330321144359
85,ModelDrift,AS3,True,4.754349305526563,12.057340257709454,11,0.8035946666666669
86,CommunicationLoss,AS2,True,2.4421959622096807,7.991078613468636,8,0.8497890271366582
87,PacketDelay,AS2,True,2.280567427525209,6.91744611979995,7,0.9328911360000001
88,CommunicationLoss,AS2,True,2.6087344139987114,8.128509482975776,8,0.851259793137898
89,SensorNoise,AS1,True,0.7386854859185298,3.093015370687217,5,0.8184949971201203
90,AnalyticsFailure,AS3,True,4.399406230418756,13.027095646094722,10,0.9463129088000002
91,SensorDrift,AS1,True,1.0810680103982726,4.149020572461861,6,0.9824078139555843
92,MissingData,AS1,True,1.5888024152723637,5.026574426149835,5,0.8361600000000002
93,CommunicationLoss,AS2,True,2.627528235882758,7.75017255399345,8,0.8543411678436518
94,PacketDelay,AS2,True,2.0955832710984375,7.215009647932824,7,0.9463129088000002
95,SensorDrift,AS1,True,1.174210561371454,4.060524224535925,6,0.9859262511644675
96,AnalyticsFailure,AS3,True,3.924923110928686,12.520085046801658,10,0.9570503270400001
97,SensorNoise,AS1,True,0.7329842445567569,3.413592653933209,5,0.8281293310294296
98,CommunicationLoss,AS2,True,2.493152408144206,8.040955017091113,8,0.8584729342749216
99,CommunicationLoss,AS2,True,2.752069941419723,8.373429974042784,8,0.8632489356552314
100,CommunicationLoss,AS2,False,2.7201848057989313,8.941615644579226,8,0.8572658151908519
101,CommunicationLoss,AS2,True,2.6944066941437925,7.656489282911365,8,0.8542337047842604
102,SensorDrift,AS1,True,1.0928667030314008,4.275954471510805,6,0.988741000931574
103,ActuatorFailure,AS5,True,3.9339569443787563,11.011963643407475,9,0.6800000000000002
104,SensorDrift,AS1,True,1.1797513044657868,4.699104785849077,6,0.99
105,CommunicationLoss,AS2,True,2.8597756803853107,7.7888736853893725,8,0.8533869638274084
106,InformationDelay,AS4,True,1.6805552318771664,5.998358878600874,6,0.6000000000000001
107,MissingData,AS1,True,1.5149178553614155,4.567078885339103,5,0.8689280000000001
108,SensorNoise,AS1,True,0.7665527243516496,3.212128769589578,5,0.8375034648235438
109,SensorNoise,AS1,True,0.726674871559963,3.6232519803986114,5,0.6000000000000001
