Episode,Fault,Success,MTTD,MTTR,Messages
0,PacketDelay,True,3.9766956743989925,15.599223455390112,4
1,GatewayFailure,False,6.702266755322004,22.777365077922774,6
2,SensorNoise,False,1.3642283620156956,7.741811983930283,2
3,PacketDelay,True,4.217850885582536,14.151053394566794,4
4,CommunicationLoss,True,5.4612555675536525,18.330001640073732,5
5,SensorDrift,True,2.2440639303660146,9.943200236709604,3
6,SensorNoise,True,1.309502619922307,6.975957354872557,2
7,CommunicationLoss,True,5.271647003059602,18.088067015613944,5
8,SensorNoise,True,1.4135786429269215,6.911839431986977,2
9,AnalyticsFailure,True,8.463719484176574,25.03231203797847,7
10,AnalyticsFailure,True,9.000669280802676,24.522177235592142,7
11,PacketDelay,True,3.8284041049510558,14.148511168265523,4
12,SensorNoise,True,1.4486376424328888,7.039323430282744,2
13,ActuatorFailure,True,6.9555787108187115,21.979538080295068,6
14,SensorDrift,False,2.338117196890583,9.668420229786655,3
15,SensorDrift,True,2.184737581974727,9.364162511925773,3
16,PacketDelay,False,3.8132199455338807,13.169618865712806,4
17,GatewayFailure,True,6.715610469252489,22.34066625605698,6
18,ActuatorFailure,True,6.78080028751524,25.953757572160875,6
19,SensorDrift,True,2.5963171971392645,9.046670922334096,3
20,AnalyticsFailure,False,8.805678341069008,27.703522320968958,7
21,CommunicationLoss,True,5.847596600517635,18.704254628537935,5
22,SensorDrift,True,2.3503833886925927,9.09951544120902,3
23,AnalyticsFailure,True,8.035539451833902,26.2218024332648,7
24,ModelDrift,False,9.232170785830903,27.99155299956965,8
25,MissingData,True,2.9796024401423704,11.454083903131245,2
26,PacketDelay,True,4.419768334220158,13.88227186019176,4
27,SensorDrift,False,2.3102025690576915,8.7277736601237,3
28,SensorNoise,True,1.5094806850703488,6.503356657441814,2
29,GatewayFailure,True,6.710922106835758,22.55045157107664,6
30,PacketDelay,True,3.9448010974905405,13.622453642889399,4
31,CommunicationLoss,False,5.125388417685371,18.182313117061472,5
32,SensorDrift,True,2.322030856337524,10.105652401279334,3
33,SensorNoise,True,1.5043846885622143,7.545015490550232,2
34,PacketDelay,True,4.395528679101017,13.974267364796141,4
35,SensorNoise,False,1.4534053426730267,6.745028792920225,2
36,AnalyticsFailure,True,9.22374354867816,28.814210799858756,7
37,SensorNoise,False,1.537651726155347,6.587035792477956,2
38,InformationDelay,True,3.2749303638214164,11.896853296523656,3
39,SensorNoise,True,1.477642074604726,6.577873835998208,2
40,MissingData,True,2.8312318034726363,10.704980863378298,2
41,SensorDrift,False,2.466109724045115,10.433095144508162,3
42,SensorNoise,True,1.4858738904930804,6.502653744291676,2
43,GatewayFailure,True,6.48296683084699,19.51225695764336,6
44,ModelDrift,True,9.668617157613935,27.571325970431722,8
45,MissingData,False,3.1187154457302375,10.65003813074024,2
46,CommunicationLoss,True,5.0536081882981785,19.504975840052442,5
47,AnalyticsFailure,True,7.964827638286694,27.032442847935016,7
48,SensorDrift,True,2.330131728413074,10.166277757600257,3
49,AnalyticsFailure,True,9.171620294169532,26.183508096510256,7
50,CommunicationLoss,False,5.613015221386595,17.279908705223725,5
51,MissingData,True,2.7483701511639462,11.862017363412331,2
52,CommunicationLoss,True,4.894219263948354,17.65900187317543,5
53,PacketDelay,True,4.179844284110789,14.79383445760024,4
54,PacketDelay,True,3.849456342904874,15.394549808276146,4
55,AnalyticsFailure,False,8.116534636546962,28.920298298970092,7
56,SensorDrift,True,2.5894997818284957,10.404772253645207,3
57,SensorDrift,True,2.592611020331801,9.969192407906833,3
58,ActuatorFailure,True,6.8703768759000985,26.035964479721123,6
59,ActuatorFailure,True,6.883737139813666,24.206547351962683,6
60,CommunicationLoss,True,5.053702863477674,19.261539360375295,5
61,ModelDrift,False,9.037743581586401,26.7505433929934,8
62,AnalyticsFailure,True,8.93911601147903,28.664459684537576,7
63,SensorDrift,False,2.430699935819407,9.728056166190871,3
64,CommunicationLoss,True,5.591197763146816,18.1460247516202,5
65,CommunicationLoss,True,5.658924784594377,19.04579310684294,5
66,SensorDrift,True,2.1976452916888936,10.071276597609378,3
67,ModelDrift,True,8.82755671172745,27.2571494653133,8
68,SensorNoise,True,1.4702885980417848,7.363965936414868,2
69,ModelDrift,True,10.500327412226985,27.79992948659244,8
70,SensorDrift,True,2.536103106710622,9.50505637393861,3
71,AnalyticsFailure,True,8.489103377916814,25.742254538835265,7
72,SensorDrift,True,2.441220058181305,9.369739609990512,3
73,InformationDelay,True,3.4526732261076547,12.530627422650207,3
74,SensorNoise,True,1.3731759448976488,7.027199990040176,2
75,ActuatorFailure,True,6.702158722468492,23.470185481906352,6
76,GatewayFailure,True,6.060806965879035,23.513588182119392,6
77,ActuatorFailure,True,7.5763389473294,22.090710787743582,6
78,CommunicationLoss,True,5.325457877254122,18.20514611599642,5
79,SensorDrift,True,2.2095806051239797,8.812068176563944,3
80,SensorDrift,False,2.446523786537804,10.14612235056539,3
81,CommunicationLoss,False,4.87332786407467,17.689716251165258,5
82,CommunicationLoss,False,5.642831351557575,18.214331564744914,5
83,SensorDrift,True,2.276516409773685,9.640520699065918,3
84,SensorNoise,True,1.3448165026306058,6.867243307483412,2
85,ModelDrift,True,8.920194855641371,26.883114628372603,8
86,CommunicationLoss,True,5.183732434235289,19.01759984699575,5
87,PacketDelay,True,4.5731467283303715,15.036190423072107,4
88,CommunicationLoss,True,5.526002295398652,17.8483018784605,5
89,SensorNoise,False,1.297949002394536,7.049796448934024,2
90,AnalyticsFailure,True,8.19821512632704,28.312407079785917,7
91,SensorDrift,True,2.3666957860546427,10.221187661068562,3
92,MissingData,True,3.056635751438697,10.368940214906907,2
93,CommunicationLoss,True,5.610915679163631,17.92443507262364,5
94,PacketDelay,True,4.114521249336967,13.879116474683364,4
95,SensorDrift,True,2.46379318174484,10.498105124128523,3
96,AnalyticsFailure,False,8.107488878904082,25.239984773331066,7
97,SensorNoise,True,1.4011244747698284,7.822176699727363,2
98,CommunicationLoss,False,5.93704611978888,16.84773796539132,5
99,CommunicationLoss,False,4.889069397369362,18.817968109710815,5
100,CommunicationLoss,False,5.086420268070186,19.071667875713054,5
101,CommunicationLoss,False,4.934691365692636,19.25203654814038,5
102,SensorDrift,True,2.4830292731498593,8.907223915576973,3
103,ActuatorFailure,True,6.843861626300772,22.33988752538811,6
104,SensorDrift,True,2.340955592658395,9.502208104000577,3
105,CommunicationLoss,False,5.488823540753644,18.123722644327625,5
106,InformationDelay,True,3.8661362816246627,12.984313827717479,3
107,MissingData,False,3.2810568244436213,11.23553006004008,2
108,SensorNoise,True,1.467020143686205,7.796737798172042,2
109,SensorNoise,True,1.367490519027332,7.437159197563028,2
110,SensorDrift,True,2.4540853931103825,9.721382961038707,3
111,SensorNoise,True,1.482262158536091,7.872208032338793,2
112,CommunicationLoss,True,5.719929549581497,16.58140038578191,5
113,GatewayFailure,True,6.2330414250052915,22.666405079373764,6
114,SensorDrift,True,2.490078916222699,9.06438093346279,3
115,CommunicationLoss,True,5.360108265236986,18.646399755171863,5
116,SensorDrift,True,2.232357567590358,10.555589232796136,3
117,ModelDrift,True,9.207229863395339,31.222353857305293,8
118,CommunicationLoss,True,5.757823164283709,18.828542602882017,5
119,CommunicationLoss,True,5.230512015311116,19.02337199110331,5
120,CommunicationLoss,True,5.236164320366498,16.55144291205255,5
121,PacketDelay,True,4.160055642335743,13.153462099319402,4
122,PacketDelay,True,4.3770543513944125,13.025045131784964,4
123,InformationDelay,False,3.3187411308850367,13.99213233198147,3
124,PacketDelay,True,4.402011167145423,14.446062437462995,4
125,SensorNoise,True,1.3913250207993129,7.093971912415222,2
126,SensorDrift,True,2.5429227783860475,9.849139812247063,3
127,CommunicationLoss,True,5.5698925440512985,17.62409656126121,5
128,SensorDrift,True,2.5838867397212666,9.503184021838234,3
129,SensorDrift,True,2.162136020796545,9.05240852173497,3
130,CommunicationLoss,True,5.620060522805365,19.065628983268365,5
131,InformationDelay,True,3.8156416969584304,13.297386987906501,3
132,ModelDrift,True,9.018382608283288,26.57638063126173,8
133,SensorNoise,True,1.4369713858960713,7.8709196159267165,2
134,AnalyticsFailure,True,8.21291395833342,25.832632350171988,7
135,PacketDelay,True,4.075667336510382,14.278638488188419,4
136,PacketDelay,False,4.345814644344377,15.265766543571958,4
137,InformationDelay,True,3.6649212227837844,13.654370615732834,3
138,InformationDelay,True,3.411772363035929,12.188745106482786,3
139,SensorNoise,True,1.336711260461193,7.0393871078063865,2
140,GatewayFailure,True,6.698743979234227,21.267527538556276,6
141,SensorNoise,False,1.45076522975943,7.803591835269142,2
142,GatewayFailure,True,6.168669938836132,20.16085906293432,6
143,PacketDelay,True,3.9371628071684186,15.38491741671326,4
144,CommunicationLoss,True,5.794764009324925,19.626631021756683,5
145,InformationDelay,True,3.3804925139766593,12.893612624291395,3
146,SensorDrift,True,2.473473485094201,9.42553794886632,3
147,AnalyticsFailure,True,8.75303918638094,26.103537202032907,7
148,SensorDrift,True,2.431390943637588,10.168091308036662,3
149,PacketDelay,True,3.8074638729607795,13.607549039932435,4
150,SensorDrift,True,2.534755294766383,9.726048885476851,3
151,CommunicationLoss,True,5.394938410473647,18.038901528772413,5
152,CommunicationLoss,False,5.149320022144333,18.155182255534964,5
153,SensorDrift,True,2.4201808219764622,10.093029585479886,3
154,CommunicationLoss,True,5.3366759061072875,16.986750966036265,5
155,CommunicationLoss,True,5.654867793444368,18.55321812856826,5
156,CommunicationLoss,True,5.804794633979035,16.3160294236171,5
157,MissingData,False,3.217319775298515,9.907883292946151,2
158,ModelDrift,True,8.86538117087791,30.59648013654954,8
159,PacketDelay,False,4.399594904883624,14.944704730881876,4
160,MissingData,True,3.066157081571686,10.64484085230917,2
161,ActuatorFailure,False,7.610183006357642,25.504943354378085,6
162,InformationDelay,True,3.650453528259599,13.285221305057886,3
163,ModelDrift,True,8.963284540037922,31.559040900881214,8
164,ModelDrift,True,9.739652313242098,31.405808709727054,8
165,SensorDrift,True,2.5920745385144923,10.20514733927572,3
166,AnalyticsFailure,True,8.820158149301715,25.933228058003625,7
167,AnalyticsFailure,True,8.02590353978157,27.223132343515527,7
168,SensorNoise,True,1.3342149665944802,6.6905905585319445,2
169,MissingData,True,2.8485328440136026,11.542080218349893,2
170,ModelDrift,True,8.912969535504706,29.562635418979905,8
171,SensorDrift,False,2.340082717366189,8.78499124479715,3
172,MissingData,True,3.1613305408943955,10.590157670331934,2
173,SensorNoise,True,1.496074641329533,7.7433369938393115,2
174,MissingData,False,2.9928266882626233,10.977023976484999,2
175,ModelDrift,False,10.26656126593672,26.456495950595794,8
176,MissingData,False,3.0809043273216954,11.226144192023286,2
177,PacketDelay,False,4.448369458384191,14.105421700383351,4
178,InformationDelay,True,3.833890306297936,13.186047461546488,3
179,ModelDrift,True,9.184498705927206,29.07250868416501,8
180,SensorDrift,False,2.5691628366184402,10.15354301467523,3
181,SensorDrift,True,2.525881930762801,8.728210417264576,3
182,MissingData,False,3.2020213073175334,9.755167721125128,2
183,CommunicationLoss,False,5.030622196172094,17.843465289491665,5
184,MissingData,False,2.956679580520026,11.87069918846606,2
185,SensorNoise,False,1.5500585560440956,6.914686326302047,2
186,SensorDrift,True,2.5807656178737384,8.81921277028925,3
187,MissingData,True,2.749452318423288,11.155339032651547,2
188,InformationDelay,True,3.2772868380350313,13.531595283795479,3
189,PacketDelay,True,4.414395011936731,14.196185109375397,4
190,GatewayFailure,True,6.065642454932883,20.361979484407637,6
191,CommunicationLoss,True,5.501173856588349,18.069999316691888,5
192,MissingData,True,2.7048375414115062,10.462120164073673,2
193,CommunicationLoss,True,5.789167516351484,18.698511604039602,5
194,CommunicationLoss,False,5.107262616855767,16.521591891577454,5
195,PacketDelay,True,3.866689287895078,14.018577666113138,4
196,PacketDelay,False,4.101485681904158,15.302499620386172,4
197,CommunicationLoss,True,5.552902240398343,18.63769348050856,5
198,MissingData,True,3.037974728681779,11.038289556831447,2
199,CommunicationLoss,False,5.239282736332912,16.966999625124693,5
200,CommunicationLoss,True,5.853485654627135,18.417873645362544,5
201,PacketDelay,True,3.9624855294288546,15.542187683353868,4
202,AnalyticsFailure,True,7.766904133785399,27.614448306170768,7
203,PacketDelay,True,4.140686542869979,15.23830078425043,4
204,CommunicationLoss,True,5.556190213642929,17.093401297868997,5
205,SensorDrift,False,2.506166226652598,9.187047955212158,3
206,PacketDelay,False,3.8025325011628075,15.399561660112496,4
207,AnalyticsFailure,True,7.905148806496103,26.96457387186795,7
208,SensorDrift,True,2.348040487631114,9.880645967310466,3
209,ActuatorFailure,True,7.623040365686468,22.748837166841785,6
210,CommunicationLoss,True,5.120368296053626,18.497096387581134,5
211,GatewayFailure,True,7.113116377074718,19.49212949352959,6
212,CommunicationLoss,False,5.201790462602238,17.592617695770638,5
213,SensorDrift,True,2.3620144964411707,9.689003944629794,3
214,ModelDrift,True,9.544348081890865,31.607229685465352,8
215,AnalyticsFailure,True,8.546770674835555,23.832829287829536,7
216,SensorDrift,True,2.6028380586879334,10.461465594138481,3
217,SensorDrift,True,2.297514144045963,10.0082478261144,3
218,InformationDelay,True,3.5449741693236203,12.94201236410148,3
219,CommunicationLoss,True,5.440667786786934,16.749649597696095,5
220,PacketDelay,False,3.8463781120590568,15.61226359326548,4
221,ActuatorFailure,True,6.703743068966283,23.168401422169143,6
222,PacketDelay,True,4.42110827014597,14.831537854980233,4
223,AnalyticsFailure,False,8.081084748907205,26.069926307307036,7
224,ModelDrift,False,9.098183785313214,27.328203381423542,8
225,CommunicationLoss,True,4.985265508067918,18.4042684599146,5
226,AnalyticsFailure,True,8.679013692483641,27.234516463806294,7
227,AnalyticsFailure,True,7.5812771522199585,24.484478290259226,7
228,PacketDelay,True,4.196986863319081,13.95851076771509,4
229,CommunicationLoss,True,5.748307422536811,17.13328906149467,5
230,SensorNoise,True,1.511935598619012,7.737782481216049,2
231,MissingData,True,2.770834032169418,11.663778441424737,2
232,SensorDrift,True,2.3660757932853005,9.645800085981445,3
233,MissingData,True,3.285030352666907,11.075470919061237,2
234,GatewayFailure,False,6.6142320808422825,19.679496958839263,6
235,CommunicationLoss,False,5.0402319040678645,16.766315931964055,5
236,CommunicationLoss,True,5.825809893755803,18.62683355362715,5
237,SensorDrift,False,2.5155743819790777,8.64493153158242,3
238,MissingData,True,2.707372843822322,9.81932010456183,2
239,ModelDrift,False,10.406834966899176,26.95081497850628,8
240,CommunicationLoss,True,4.898192659892842,19.091215751247198,5
241,SensorNoise,True,1.4848425487933932,6.803302051897309,2
242,ModelDrift,False,10.398441148571319,27.7628263923708,8
243,CommunicationLoss,True,5.477258839626854,16.629843346829322,5
244,CommunicationLoss,True,4.91688592101404,17.003466219422346,5
245,CommunicationLoss,False,4.9096028848767705,17.64332944935661,5
246,MissingData,True,3.219619337986291,11.390819355732713,2
247,GatewayFailure,True,6.054028889611963,21.413143480080564,6
248,InformationDelay,True,3.4499484652723433,13.951099053638583,3
249,InformationDelay,False,3.4146604753585694,12.852242377117754,3
250,SensorDrift,True,2.6389378158066745,10.12970103543409,3
251,SensorDrift,True,2.422348436452683,10.168269199063209,3
252,SensorDrift,True,2.6075508156181675,8.685907691473929,3
253,MissingData,True,3.081565103707794,11.217875341584898,2
254,CommunicationLoss,True,5.221818757665001,18.932144951569242,5
255,AnalyticsFailure,True,8.799978869123171,25.3836561661128,7
256,SensorNoise,False,1.5791373336657306,7.0845348124840966,2
257,SensorNoise,True,1.576097059958609,6.6850178186951545,2
258,CommunicationLoss,False,4.907412286959412,17.03330126427289,5
259,ActuatorFailure,True,7.0748017970414425,25.898774112671326,6
260,SensorNoise,True,1.5113950268659881,7.316309703421823,2
261,AnalyticsFailure,True,8.630522342454922,25.842174807154425,7
262,AnalyticsFailure,True,7.66463521071353,27.25770394065285,7
263,SensorDrift,False,2.300004491547314,10.273754315114148,3
264,PacketDelay,True,4.110080243562233,15.35587152390045,4
265,SensorDrift,False,2.3773237691114755,9.08853355514556,3
266,CommunicationLoss,True,5.007000794130056,18.972527832574766,5
267,CommunicationLoss,True,4.974110370110906,17.81844029186516,5
268,AnalyticsFailure,False,7.762837718280801,25.651757714549237,7
269,PacketDelay,False,4.1596103446109485,14.294438193762472,4
270,AnalyticsFailure,True,7.711907091921522,28.02411165671326,7
271,ActuatorFailure,True,7.494774917688252,24.495851935398456,6
272,CommunicationLoss,True,5.785099132910498,16.733965670528757,5
273,CommunicationLoss,True,5.905872004510478,17.626480065647176,5
274,MissingData,True,2.879304426581413,11.491393570153871,2
275,SensorDrift,True,2.617006371275397,10.280834504874246,3
276,SensorDrift,True,2.424058028160999,8.82187253182473,3
277,ModelDrift,True,10.164114706131835,26.619570751703318,8
278,AnalyticsFailure,True,8.872012789031215,24.933681340591434,7
279,MissingData,False,2.9403490858029118,11.20237616599681,2
280,PacketDelay,False,3.8505931163516047,14.648022006343329,4
281,CommunicationLoss,True,4.9409861551489245,19.78978113406971,5
282,SensorDrift,True,2.4700737098816563,10.193853437358735,3
283,AnalyticsFailure,True,8.983422730217267,28.030924460817754,7
284,CommunicationLoss,False,5.877663113906045,16.38229572329492,5
285,PacketDelay,True,4.143851356880484,15.046360839736433,4
286,GatewayFailure,True,6.445202858908781,21.283188559610597,6
287,SensorDrift,True,2.5959860236185235,9.167964996526544,3
288,PacketDelay,True,3.9048503836177706,14.72862694399974,4
289,CommunicationLoss,False,5.559060672512006,17.996009795987398,5
290,MissingData,True,2.987418557976093,9.909478550287455,2
291,AnalyticsFailure,False,8.264314499609837,27.15320533537094,7
292,SensorNoise,True,1.367754553479383,7.9114856794113075,2
293,SensorNoise,True,1.3016246351968366,7.0307972407784955,2
294,CommunicationLoss,True,5.3780591939991655,19.01316638100778,5
295,MissingData,True,3.0393906690287293,10.414665544322904,2
296,ModelDrift,True,8.690040898116267,29.35939019189444,8
297,CommunicationLoss,False,5.735544514960209,17.211357595107916,5
298,AnalyticsFailure,True,8.352429767321395,25.647245673305736,7
299,SensorNoise,True,1.3630354928412005,6.709859723927031,2
300,CommunicationLoss,False,5.120445018767186,18.121282432516118,5
301,SensorDrift,False,2.5137888660046173,10.106975469537621,3
302,CommunicationLoss,True,5.481747477309595,19.73759268872892,5
303,PacketDelay,True,4.565573066956898,15.81564073230502,4
304,CommunicationLoss,True,5.115475223361857,17.344815725850736,5
305,SensorDrift,True,2.33221590368979,9.775799990103815,3
306,CommunicationLoss,True,5.239816720361735,18.243544915534432,5
307,MissingData,False,3.2690211036275345,11.527265175984004,2
308,CommunicationLoss,True,5.908018725004829,18.151648565475575,5
309,CommunicationLoss,True,4.901000840496107,16.402204716484576,5
310,MissingData,True,2.7119567939331315,10.752456214438947,2
311,SensorNoise,True,1.4728708130867907,7.641281395166405,2
312,SensorNoise,False,1.3471084433243339,7.635491200206943,2
313,MissingData,True,2.7357335777070206,10.039057961010007,2
314,SensorDrift,True,2.2279932788885826,8.85296753663751,3
315,SensorNoise,True,1.4010882774937221,6.584445512726684,2
316,ActuatorFailure,True,7.433480956030321,24.412879983223636,6
317,SensorNoise,True,1.3889097228593983,7.885239366790693,2
318,SensorDrift,True,2.3696968238061995,9.867390703592235,3
319,GatewayFailure,True,6.358814079090562,22.495030219740936,6
320,SensorNoise,True,1.552204862441923,7.363740940192849,2
321,CommunicationLoss,True,5.578774203032747,19.13203525119473,5
322,PacketDelay,True,4.396555777626773,13.808209722390496,4
323,SensorDrift,True,2.1608629952029754,9.987856220465156,3
324,CommunicationLoss,True,5.778817522777809,18.97498941328125,5
325,CommunicationLoss,False,5.056648296494631,17.345580882696343,5
326,SensorDrift,True,2.453462953165395,9.868121803744557,3
327,SensorNoise,True,1.4389012966789698,6.956882533679115,2
328,SensorDrift,True,2.3264688598479495,9.253475863951026,3
329,CommunicationLoss,True,5.900125994502186,19.157982499541916,5
330,CommunicationLoss,True,5.647628822904719,17.408698076068372,5
