Episode,Confidence,Reward,Success
1,0.6000000000000001,93.0402495595236,1
2,0.6000000000000001,90.05792291255545,1
3,0.6000000000000001,96.63949969931981,1
4,0.6000000000000001,93.99811299202275,1
5,0.6000000000000001,91.70963595117695,1
6,0.6000000000000001,95.87818649870242,1
7,0.6800000000000002,96.56299931365794,1
8,0.6800000000000002,90.97815278889806,1
9,0.7440000000000002,96.81202642420809,1
10,0.6000000000000001,87.81376200203974,1
11,0.4,87.65092865112643,0
12,0.6800000000000002,92.91229451598761,1
13,0.7452000000000002,96.41147455628652,0
14,0.6000000000000001,88.56962217144904,1
15,0.6800000000000002,95.75697879223189,1
16,0.7440000000000002,95.7685883898275,1
17,0.7440000000000002,93.00028205919757,1
18,0.6800000000000002,90.68780756731334,1
19,0.6800000000000002,90.06431621779723,1
20,0.7952000000000001,95.78023078699319,1
21,0.6800000000000002,87.52584872198713,1
22,0.7440000000000002,90.98026135903693,1
23,0.8361600000000002,95.3404215473688,1
24,0.7440000000000002,86.89110347693963,1
25,0.6000000000000001,88.03070528108522,1
26,0.6000000000000001,94.7883045448637,1
27,0.7952000000000001,93.12653617591144,1
28,0.8689280000000001,95.4963049924284,1
29,0.7561600000000002,96.70801610655798,1
30,0.7440000000000002,90.04175305925354,1
31,0.8361600000000002,92.98663246839364,1
32,0.7952000000000001,92.39842289265408,1
33,0.8951424000000001,95.81787198724308,1
34,0.7715946666666669,96.39686345586198,1
35,0.8689280000000001,93.6640334747513,1
36,0.7887043047619049,96.77968574532173,1
37,0.7952000000000001,88.90989958353596,1
38,0.780963443809524,96.38496271262873,0
39,0.6000000000000001,94.27698253850777,1
40,0.7803263106031748,96.85107726521245,1
41,0.6800000000000002,95.00739960865769,1
42,0.6000000000000001,95.85770085843957,1
43,0.78426104848254,96.4169425394328,1
44,0.7952000000000001,89.40810399792693,1
45,0.6800000000000002,86.1670727487693,1
46,0.7440000000000002,94.80699800435767,1
47,0.8361600000000002,92.01302196831608,1
48,0.8361600000000002,87.2379971029622,1
49,0.9161139200000001,95.6082689586225,1
50,0.8689280000000001,87.46513844342665,1
51,0.6000000000000001,92.16835786084363,1
52,0.7952000000000001,94.76894862094848,1
53,0.8355946666666669,92.42399129265121,0
54,0.8951424000000001,93.92505453337051,1
55,0.9161139200000001,93.38357808009819,1
56,0.8951424000000001,87.21165828730821,1
57,0.6800000000000002,95.9654644251029,1
58,0.9328911360000001,95.5366748209404,1
59,0.7440000000000002,89.43751121617485,1
60,0.6000000000000001,89.44054504137256,1
61,0.839904304761905,91.38551590344827,1
62,0.7440000000000002,87.76230765220302,1
63,0.9161139200000001,88.19066630612414,1
64,0.9463129088000002,95.31528898867691,1
65,0.8469234438095241,91.5797014071568,1
66,0.8553165328253971,91.91790468880238,1
67,0.9570503270400001,95.18836848477443,1
68,0.7952000000000001,86.04531235637256,1
69,0.7910452024223957,96.3718051490179,1
70,0.7961600000000002,86.2001567195454,0
71,0.7440000000000002,95.97914036869489,1
72,0.9328911360000001,88.77318652307486,1
73,0.9656402616320001,95.66764739949713,1
74,0.6800000000000002,93.85048473674823,1
75,0.7995028286045833,96.75392154307063,1
76,0.7952000000000001,88.31294665350622,1
